企业名称,岗位名称,招聘人数,用工形式,薪资范围,岗位要求,工作地点,登记开始时间,登记结束时间,招聘联系人,联系人电话,登记机构
北京任仕达企业管理有限责任公司,部门行政,1,全职,月薪(元):8000-10000,"1、全日制本科及以上；
2、具有1年以上行政综合或相关工作经验；
3、具有较强的沟通能力、团队合作和敬业精神、责任心；
4、细致、踏实、认真。",北京市朝阳区关东店28号3幢3层312室,9/6/2026,9/7/2026,朱*士,5912****,北太平庄街道
北京市开源物业管理股份有限公司,消防设施操作员,1,全职,月薪(元):4000-5000,持有消防设施操作员四级证书，有实际工作经验，熟练掌握消防设备操作流程。,北京市海淀区知春里28号楼,15/5/2026,15/6/2026,周*理,6218****,上庄地区
北京大星发商贸有限公司,理货员,5,全职,月薪(元):4000-4500,"1、有一年以上相关经验，学徒无经验可带薪培训；
2、身体健康，吃苦耐劳，工作沉稳、细致、认真、负责，能够服从公司工作调动及领导其它临时性工作安排。",北京市怀柔区下元综合贸易市场小泉河东侧88号,29/5/2026,29/6/2026,嵇*,1381032****,怀北镇
北京电子量检测装备有限责任公司,光学工程师（显微成像方向）,5,全职,月薪(元):8000-15000,"1、具有光学、精密仪器、物理学及光电子等相关专业的硕士或博士学位；
2、熟悉光学成像技术，明暗场光学方案设计；
3、具有显示面板检测设备设计制造相关工作经历优先；
4、具有较强的动手能力，可熟练进行光学系统的安装调试；
5、具有较强的团队意识和协作精神；
6、能够独立熟练地查阅英文文献和技术资料；",北京市朝阳区酒仙桥路14号兆维工业园,24/2/2026,31/3/2027,绳*航,1834532****,经济技术开发区
北京顺鑫控股集团有限公司,财务管理岗,2,全职,年薪(元):100000-100000,1.硕士研究生以上学历，财会类专业，拥有会计职称者优先；2.工作细致，能吃苦耐劳，沟通能力强，具有高度的责任感和团队合作精神，具有较高的业务素质、较强的敬业精神和良好的职业道德。,北京市顺义区站前街1号院1号楼11层,2/6/2026,2/7/2026,宋*铮,1360102****,光明街道
北京人形机器人创新中心有限公司,硬件测试/可靠性工程师,2,全职,月薪(元):12000-20000,负责制定硬件测试方案与用例，搭建测试环境完成硬件产品的功能、性能、EMC、环境可靠性等全维度测试，定位分析故障问题并推动研发优化，输出标准化测试报告，同时参与可靠性体系建设与测试流程迭代，保障硬件产品全生命周期的质量与稳定性。,北京市北京经济技术开发区（通州）经海五路3号院46号楼1层101室,24/2/2026,30/6/2026,李*理,1513198****,经济技术开发区
北京中青家政有限公司,养老护理员,50,全职,月薪(元):5000-8000,身体健康，有护理老人工作经验。主要负责对老人生活进行照料，为老人提供日常生活照料、疾病护理、心理护理等。,北京市朝阳区世奥国际中心B座3106,12/6/2026,12/7/2026,甘*,1350101****,紫竹院街道
昂坤视觉（北京）科技有限公司,销售工程师,1,全职,月薪(元):10000-20000,半导体/电子工程/材料科学/市场营销等相关专业，负责关键客户的业务拓展与关系维护,北京市昌平区沙河镇昌平路97号7幢5层503-1室,13/5/2026,19/6/2026,王*,1501146****,顺义区
北京市长安物业管理中心,物业维修,3,全职,月薪(元):3500-4000,身体健康，吃苦耐劳有责任心。,北京市房山区长沟镇西厢苑小区内,8/6/2026,8/7/2026,贾*士,1352181****,长沟镇
承道智济(北京）科技有限公司,中药研发实验员,5,全职,月薪(元):7000-12000,1.中药学、中药分析、中药药剂学及相关专业； 2.拥有中药工艺研究或质量标准研究任一方向工作经验，熟练掌握处方设计、工艺研究、质量标准建立（具备液质联用定性鉴别与定量分析经验者优先）、稳定性考察等相关工作。,"""北京市北京经济技术开 发区科创十三街12号院3号楼4层403单元""",18/5/2026,18/6/2026,刘*士,010-5365****,经济技术开发区
北京京水来餐饮管理有限公司,餐厅经理,1,全职,月薪(元):6000-8000,有商务或门迎经验优先,北京市大兴区瀛海镇瀛海家园瀛坤路4号院一号楼3-4层,4/6/2026,4/7/2026,谢*理,1952929****,瀛海镇
北京橙医健康科技有限公司,医疗健康咨询顾问（陪诊师）,100,全职,月薪(元):6000-10000,1.高中及以上学历，医学相关专业、持有陪诊师岗位能力证书2.半年以上陪诊经验、具备基础医疗常识，熟悉三甲医院布局及就诊全流程,北京市朝阳区霄云路28号院2号楼8层806,12/5/2026,21/6/2026,房*师,1381080****,东花市街道
北京麦当劳食品有限公司翠微路二号餐厅,餐厅服务员,20,全职,月薪(元):3000-4000,"1.有志于餐饮服务业，具备良好的顾客服务意识；
2.能适应早晚轮班工作及快节奏的工作方式；
3.具备良好沟通技巧和不断学习的能力、团队合作精神及工作责任心；",北京市海淀区翠微路12号2层201-01A商铺,8/6/2026,8/7/2026,王*理,1521017****,羊坊店街道
北京汇众益新科技有限公司,销售,5,全职,月薪(元):5000-6000,"优先考虑美术专业，市场营销类、师范类专业的候选人；
与销售相关的工作经验1-2年或微商、直播工作经验优先；
热爱销售工作，有同理心，良好的沟通表达能力，有目标感；
具有极强的工作责任感。",北京市丰台区花乡纪家庙双创产业园R7,15/5/2026,15/6/2026,钱*师,1381185****,玉泉营街道
北京安达泰克科技有限公司,生产计划,1,全职,月薪(元):8000-12000,专科及以上学历，有机械制造企业生产计划工作要求3年以上，熟悉机加工流程。,北京市顺义区空港工业B区裕安路丙22号,4/6/2026,4/7/2026,王*生,1331105****,顺义区
北京恒信瑞通人力资源管理有限公司,保洁,1,全职,月薪(元):3500-4000,有1-2年保洁工作经验优先，熟悉室内保洁流程，能独立完成工作任务，工作认真负责，吃苦耐劳。,北京市海淀区什邡院6号莲花池桥地铁站B口向南50米,1/6/2026,1/7/2026,韩*师,1343928****,羊坊店街道
中国平安人寿保险股份有限公司北京分公司顺义龙府营销服务部,保险康养顾问,5,全职,月薪(元):6000-20000,大专以上学历。有金融、房产、教育培训、汽车、医疗、财务、销售、养老等方面经验优先。,北京市顺义区站前北街78号二层218室,30/5/2026,30/6/2026,姚*师,1861257****,光明街道
北京诚九企业管理有限公司,货车销售员,15,全职,月薪(元):7000-9000,性格开朗，有一定销售经验，中专以上学历。,北京市北京经济技术开发区荣华南路10号院5号楼6层705,5/6/2026,11/7/2026,徐*理,1501088****,北太平庄街道
北京金鼎翔云保洁服务有限公司,保洁员,30,全职,月薪(元):3000-5000,"身体健康，热爱工作，有经验者优先录入；负责所分配区域的卫生清洁工作,确保所有负责区域的整洁；服从安排，保证质量完成所分配的任务、完成领导安排的其他临时工作。",北京市海淀区学清路甲18号中关村东升科技园学院园五层C531室,29/5/2026,15/6/2026,霍*苹,1732690****,东升地区
北京文昌理再生资源回收技术有限公司,机动车司机/驾驶,2,全职,月薪(元):2600-2600,1.持有对应准驾车型的有效机动车驾驶证。2.要求3年以上驾龄，无重大交通事故责任记录。3.身体健康，无传染性疾病，无影响安全驾驶的疾病。4.吃苦耐劳，适应长途运输，具备基本的货物装卸、点货常识。,北京市密云区石城镇政府办公楼402室-2578（集群注册）,21/5/2026,21/6/2026,朱*华,1511698****,石城镇
佰米思源科技（北京）有限公司,电话销售,2,全职,月薪(元):3000-5000,电话邀约实体店负责人，介绍免费安装公益富氢水机项目，并引荐业务员上门，会说普通话，有电话销售经验优先考虑,北京市昌平区西关环岛西侧槐树巷91号,21/5/2026,21/6/2026,张*士,1851969****,昌平区
